entity_name,Unnamed: 1,median_seconds_empty,total_pitches,arm_injury_2022,Player,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Suter, Brent,12.626,494,0,Brent Suter,"Suter, Brent",608718,86.4,87.4,,78.8,77.2,,,,,
Chavez, Jesse,13.685,584,0,Jesse Chavez,"Chavez, Jesse",445926,91.5,91.2,89.1,,85.5,76.9,,,,
Irvin, Cole,14.068,1144,1,Cole Irvin,"Irvin, Cole",608344,90.7,90.3,87.1,,83.0,77.5,,,,
Brebbia, John,14.175,470,0,John Brebbia,"Brebbia, John",605154,94.4,95.3,,84.0,,,,,,
Matz, Steven,14.39,390,1,Steven Matz,"Matz, Steven",571927,,94.5,,89.6,85.1,78.0,,,,
Akin, Keegan,14.405,514,0,Keegan Akin,"Akin, Keegan",669211,93.5,,,85.3,84.1,75.1,,,,
Ashby, Aaron,14.5,903,1,Aaron Ashby,"Ashby, Aaron",676879,95.5,95.7,,83.5,89.1,79.7,,,,
Webb, Logan,14.504,1423,1,Logan Webb,"Webb, Logan",657277,92.3,91.8,,,86.4,,,,82.5,
Bieber, Shane,14.55,1260,0,Shane Bieber,"Bieber, Shane",669456,91.3,91.4,86.9,85.0,86.4,82.0,,,,
Sanmartin, Reiver,14.563,495,0,Reiver Sanmartin,"Sanmartin, Reiver",665665,90.9,90.4,,82.0,85.2,,,,,
Junis, Jakob,14.61,868,0,Jakob Junis,"Junis, Jakob",596001,91.9,91.9,85.6,83.1,84.8,,,,,
Singer, Brady,14.614,1161,0,Brady Singer,"Singer, Brady",663903,93.1,93.8,,85.5,86.9,,,,,
Márquez, Germán,14.622,1203,0,Germán Márquez,"Márquez, Germán",608566,95.6,95.1,,87.7,87.8,86.5,,,,
Elder, Bryce,14.772,400,0,Bryce Elder,"Elder, Bryce",693821,90.5,90.7,,82.4,86.0,,,,,
García, Rony,14.793,427,0,Rony García,"García, Rony",665621,92.9,92.5,,,87.5,80.3,,,,
Quantrill, Cal,14.835,1304,1,Cal Quantrill,"Quantrill, Cal",615698,93.9,93.5,88.5,,85.3,82.7,,,,
Peterson, David,14.84,885,0,David Peterson,"Peterson, David",656849,93.7,93.2,,84.4,85.9,78.5,,,,
Mikolas, Miles,14.902,1449,0,Miles Mikolas,"Mikolas, Miles",571945,93.5,92.9,,87.7,82.6,76.0,,,,
Watkins, Spenser,14.975,738,0,Spenser Watkins,"Watkins, Spenser",657093,91.4,90.4,87.1,78.3,86.1,76.8,,,78.4,
Keller, Mitch,14.981,1236,0,Mitch Keller,"Keller, Mitch",656605,95.6,94.4,,87.1,91.2,78.7,,,83.2,
Cortes, Nestor,14.99,1091,1,Nestor Cortes,"Cortes, Nestor",641482,91.8,84.5,86.9,,82.9,72.1,,,77.1,
Walker, Taijuan,15.073,1133,1,Taijuan Walker,"Walker, Taijuan",592836,93.7,92.8,88.4,84.9,,75.0,88.8,,83.2,
Wood, Alex,15.097,1028,0,Alex Wood,"Wood, Alex",622072,91.9,92.4,,84.5,85.7,,,,,
Gomber, Austin,15.109,899,0,Austin Gomber,"Gomber, Austin",596295,91.0,92.1,,84.3,82.0,75.8,,,,
Gilbert, Logan,15.153,1329,0,Logan Gilbert,"Gilbert, Logan",669302,96.1,94.7,,86.9,86.2,80.8,,,,
Crismatt, Nabil,15.226,466,0,Nabil Crismatt,"Crismatt, Nabil",622503,90.5,89.9,,84.7,82.7,73.2,,,,
Gonzales, Marco,15.235,1273,0,Marco Gonzales,"Gonzales, Marco",594835,88.5,88.3,86.1,,79.4,76.6,,,,
Minor, Mike,15.276,822,1,Mike Minor,"Minor, Mike",501985,90.4,90.1,,85.4,84.2,79.2,,,,
Heaney, Andrew,15.303,540,1,Andrew Heaney,"Heaney, Andrew",571760,93.0,,,83.4,85.0,,,,,
Hill, Rich,15.306,947,1,Rich Hill,"Hill, Rich",448179,88.5,,84.2,,82.8,71.8,,,69.2,
Adon, Joan,15.315,552,0,Joan Adon,"Adon, Joan",672851,95.0,94.6,,86.2,87.4,79.7,,,,
Castillo, Luis,15.325,1130,1,Luis Castillo,"Castillo, Luis",622491,97.1,96.9,,86.5,88.4,,,,,
Keller, Brad,15.359,976,0,Brad Keller,"Keller, Brad",641745,94.5,93.4,,86.9,90.3,,,,,
Berríos, José,15.365,1232,0,José Berríos,"Berríos, José",621244,94.0,93.9,,,84.6,,,,,82.9
Lauer, Eric,15.388,1241,1,Eric Lauer,"Lauer, Eric",641778,93.3,92.8,89.6,86.5,87.2,78.2,,,,
Davidson, Tucker,15.405,427,0,Tucker Davidson,"Davidson, Tucker",656353,93.1,92.9,,86.6,85.4,78.1,85.2,,,
Lynch IV, Daniel,15.413,1060,0,Daniel Lynch IV,"Lynch IV, Daniel",663738,94.0,93.3,,86.0,84.8,81.6,,,,
Plesac, Zach,15.414,912,0,Zach Plesac,"Plesac, Zach",668676,91.9,90.4,,85.4,85.7,79.3,,,,
Senzatela, Antonio,15.435,719,1,Antonio Senzatela,"Senzatela, Antonio",622608,94.3,92.6,,86.2,86.9,78.2,,,,
Rodriguez, Eduardo,15.436,679,0,Eduardo Rodriguez,"Rodriguez, Eduardo",593958,91.7,91.7,88.7,82.8,85.5,,,,,
Alcantara, Sandy,15.462,1313,0,Sandy Alcantara,"Alcantara, Sandy",645261,98.0,97.8,,90.0,91.8,86.2,,,,
Smyly, Drew,15.477,721,1,Drew Smyly,"Smyly, Drew",592767,92.3,92.6,88.6,,82.6,78.7,,,,
Lyles, Jordan,15.517,1362,0,Jordan Lyles,"Lyles, Jordan",543475,91.8,90.7,84.9,,86.3,79.1,,,80.0,
Milner, Hoby,15.528,563,0,Hoby Milner,"Milner, Hoby",571948,89.1,88.9,,,81.3,,,,79.5,
Manaea, Sean,15.532,1079,0,Sean Manaea,"Manaea, Sean",640455,91.4,90.7,,81.6,84.9,80.7,,,77.3,
Cueto, Johnny,15.651,1086,0,Johnny Cueto,"Cueto, Johnny",456501,91.4,91.4,86.9,83.5,82.6,69.9,,,,
Wacha, Michael,15.658,853,0,Michael Wacha,"Wacha, Michael",608379,93.1,92.6,88.8,,84.3,74.7,,,,
Wantz, Andrew,15.666,376,0,Andrew Wantz,"Wantz, Andrew",681806,93.8,93.3,87.9,,86.9,,,,81.3,
Faedo, Alex,15.668,437,1,Alex Faedo,"Faedo, Alex",656412,92.7,89.8,,85.0,86.2,,,,,
Pilkington, Konnor,15.686,481,0,Konnor Pilkington,"Pilkington, Konnor",663455,92.1,,,81.9,84.4,77.0,,,,
Brubaker, JT,15.733,1069,0,JT Brubaker,"Brubaker, JT",664141,92.7,93.1,,86.7,87.3,80.0,,,,
Houser, Adrian,15.754,887,1,Adrian Houser,"Houser, Adrian",605288,94.3,93.7,,85.0,85.4,81.1,,,,
Morgan, Eli,15.78,427,0,Eli Morgan,"Morgan, Eli",669212,92.1,,89.3,85.7,75.9,80.5,,,,
Skubal, Tarik,15.79,843,1,Tarik Skubal,"Skubal, Tarik",669373,94.1,94.8,,89.3,83.6,76.9,,,,
Bundy, Dylan,15.853,897,0,Dylan Bundy,"Bundy, Dylan",605164,89.0,89.8,,79.1,81.1,72.2,,,,
Contreras, Roansy,15.878,701,0,Roansy Contreras,"Contreras, Roansy",672710,95.6,,,83.8,89.7,78.9,,,,
McKenzie, Triston,15.947,1159,0,Triston McKenzie,"McKenzie, Triston",663474,92.5,,,87.3,,79.4,,,,
Wright, Kyle,15.974,1232,0,Kyle Wright,"Wright, Kyle",657140,95.2,94.4,,90.1,88.1,84.7,,,,
Kershaw, Clayton,15.982,788,1,Clayton Kershaw,"Kershaw, Clayton",477132,90.7,91.4,,86.6,83.8,73.2,,,,
Buehler, Walker,15.994,449,0,Walker Buehler,"Buehler, Walker",621111,95.2,94.8,91.5,,90.5,79.2,,,83.5,
Germán, Domingo,16.007,484,0,Domingo Germán,"Germán, Domingo",593334,92.7,92.7,,,85.9,81.0,,,,
Ober, Bailey,16.026,366,0,Bailey Ober,"Ober, Bailey",641927,91.5,,,82.8,84.3,76.7,,,,
Corbin, Patrick,16.043,1184,0,Patrick Corbin,"Corbin, Patrick",571578,92.0,92.8,,81.7,82.4,74.2,,,,
Barria, Jaime,16.047,494,0,Jaime Barria,"Barria, Jaime",642545,92.2,91.7,,85.3,85.0,,,,,
Thompson, Keegan,16.074,875,0,Keegan Thompson,"Thompson, Keegan",624522,93.5,92.8,89.8,,86.1,81.3,,,83.9,
Alexander, Jason,16.076,580,0,Jason Alexander,"Alexander, Jason",669920,93.0,92.4,,,81.5,,,,81.2,
Kuhl, Chad,16.112,1123,1,Chad Kuhl,"Kuhl, Chad",641771,93.2,92.8,,86.5,87.9,79.5,,,,
Luzardo, Jesús,16.116,747,0,Jesús Luzardo,"Luzardo, Jesús",666200,96.3,95.6,,83.7,87.2,,,,,
Abbott, Cory,16.119,358,0,Cory Abbott,"Abbott, Cory",676265,91.3,,,86.6,,84.4,,,,
Davies, Zach,16.15,1146,1,Zach Davies,"Davies, Zach",605200,89.7,89.5,87.6,76.0,79.7,74.7,,,,
Anderson, Ian,16.221,884,0,Ian Anderson,"Anderson, Ian",666120,94.0,,,,88.2,81.7,,,,
Detmers, Reid,16.246,981,0,Reid Detmers,"Detmers, Reid",672282,93.2,93.2,,86.3,84.2,73.1,,,80.2,
Whitlock, Garrett,16.248,518,1,Garrett Whitlock,"Whitlock, Garrett",676477,95.6,95.2,,83.4,84.6,,,,81.2,
Bello, Brayan,16.253,462,1,Brayan Bello,"Bello, Brayan",678394,97.0,96.3,,85.0,88.2,80.2,,,,
Severino, Luis,16.258,716,0,Luis Severino,"Severino, Luis",622663,96.3,96.1,90.3,85.1,88.8,,,,,
Winckowski, Josh,16.29,588,1,Josh Winckowski,"Winckowski, Josh",670174,93.6,94.1,88.5,84.8,90.6,,,,,
McHugh, Collin,16.319,478,0,Collin McHugh,"McHugh, Collin",543521,91.0,,88.9,,,72.5,,,80.2,
Lorenzen, Michael,16.377,753,0,Michael Lorenzen,"Lorenzen, Michael",547179,94.7,93.8,90.5,84.7,85.7,81.3,,,83.0,
Suárez, Ranger,16.398,1216,0,Ranger Suárez,"Suárez, Ranger",624133,93.2,92.5,89.5,82.4,84.9,76.6,,,,
Hudson, Dakota,16.414,1085,1,Dakota Hudson,"Hudson, Dakota",641712,91.3,91.9,,87.8,86.5,80.5,,,,
Urquidy, José,16.427,1114,0,José Urquidy,"Urquidy, José",664353,93.5,93.9,87.4,,86.1,78.1,,,80.1,
Ryan, Joe,16.439,1017,1,Joe Ryan,"Ryan, Joe",657746,92.0,86.7,,82.3,84.7,74.9,83.9,,80.0,
Kirby, George,16.457,876,0,George Kirby,"Kirby, George",669923,95.3,94.7,88.3,85.5,86.0,80.8,,,,
Oller, Adam,16.488,583,0,Adam Oller,"Oller, Adam",670124,93.3,93.5,89.5,84.2,86.5,80.4,,,,81.2
Dunning, Dane,16.512,1191,0,Dane Dunning,"Dunning, Dane",641540,88.7,89.5,87.1,78.8,84.0,80.1,,,77.1,
Oviedo, Johan,16.518,437,0,Johan Oviedo,"Oviedo, Johan",670912,96.0,,,85.7,88.8,78.7,,,,
Stroman, Marcus,16.52,1028,0,Marcus Stroman,"Stroman, Marcus",573186,92.6,92.0,90.0,86.4,,,87.0,,,84.6
Manning, Matt,16.539,436,1,Matt Manning,"Manning, Matt",666159,93.3,92.6,,82.9,86.1,79.7,,,83.8,
Ureña, José,16.557,732,0,José Ureña,"Ureña, José",570632,96.0,95.6,,86.8,90.2,,,,,
Espino, Paolo,16.562,928,0,Paolo Espino,"Espino, Paolo",502179,88.5,,,80.7,83.6,71.3,,,77.7,
Banks, Tanner,16.598,393,0,Tanner Banks,"Banks, Tanner",621383,92.9,,,86.7,84.9,,,,82.1,
Scherzer, Max,16.612,922,0,Max Scherzer,"Scherzer, Max",453286,94.0,,89.3,85.0,84.1,75.0,,,,
Wheeler, Zack,16.643,1025,1,Zack Wheeler,"Wheeler, Zack",554430,95.9,95.4,90.6,,89.5,81.3,,,,
Steele, Justin,16.647,922,1,Justin Steele,"Steele, Justin",657006,92.2,91.6,,82.0,87.8,78.4,,,,
Peralta, Wandy,16.651,329,0,Wandy Peralta,"Peralta, Wandy",593974,95.2,95.4,,87.6,88.6,,,,,
Fulmer, Michael,16.658,497,0,Michael Fulmer,"Fulmer, Michael",605242,94.2,94.4,90.3,,86.5,78.9,,,,
Iglesias, Raisel,16.663,415,0,Raisel Iglesias,"Iglesias, Raisel",628452,95.0,94.7,,84.1,88.7,,,,,
Phelps, David,16.666,571,0,David Phelps,"Phelps, David",475479,93.2,93.2,89.8,,86.5,81.7,,,,
Garrett, Braxton,16.7,639,1,Braxton Garrett,"Garrett, Braxton",666129,91.5,90.9,84.8,84.0,85.9,78.7,,,,
Heasley, Jonathan,16.735,828,1,Jonathan Heasley,"Heasley, Jonathan",669169,93.3,92.9,,85.6,84.9,78.5,,,,
Crowe, Wil,16.75,630,1,Wil Crowe,"Crowe, Wil",640444,95.1,94.4,,87.6,85.9,81.6,,,87.1,
Winder, Josh,16.781,496,1,Josh Winder,"Winder, Josh",680739,94.0,,,84.3,88.9,81.0,,,,
Wainwright, Adam,16.797,1537,0,Adam Wainwright,"Wainwright, Adam",425794,88.0,88.6,84.3,75.3,82.2,72.8,,,,
Smeltzer, Devin,16.814,537,0,Devin Smeltzer,"Smeltzer, Devin",656970,89.4,89.9,84.8,,82.2,75.2,,,77.0,
Cobb, Alex,16.85,1131,1,Alex Cobb,"Cobb, Alex",502171,95.4,94.8,,85.1,,83.8,89.6,,,
Stephens, Jackson,16.858,417,0,Jackson Stephens,"Stephens, Jackson",623451,94.1,94.0,,86.9,85.9,76.8,,,,
Strider, Spencer,16.891,994,1,Spencer Strider,"Strider, Spencer",675911,98.2,,,86.3,88.9,,,,,
Musgrove, Joe,16.906,1320,0,Joe Musgrove,"Musgrove, Joe",605397,92.9,92.3,90.1,82.9,86.5,81.3,,,,
Eflin, Zach,16.907,541,0,Zach Eflin,"Eflin, Zach",621107,93.1,92.7,90.0,85.5,87.0,78.3,,,,
Gallen, Zac,16.914,1300,0,Zac Gallen,"Gallen, Zac",668678,94.1,94.7,89.9,86.7,86.2,81.6,,,,
Kluber, Corey,16.956,1072,0,Corey Kluber,"Kluber, Corey",446372,88.9,88.9,86.3,,82.9,80.7,,,,
Duran, Jhoan,16.966,381,0,Jhoan Duran,"Duran, Jhoan",661395,100.8,98.7,,89.7,,87.8,96.4,,,
Crawford, Kutter,16.967,579,1,Kutter Crawford,"Crawford, Kutter",676710,94.6,,88.7,85.1,86.8,79.7,86.1,,,
Kelly, Merrill,16.974,1363,0,Merrill Kelly,"Kelly, Merrill",518876,92.6,92.5,90.8,85.0,88.6,82.2,,,,
Kuhnel, Joel,16.975,412,0,Joel Kuhnel,"Kuhnel, Joel",669270,96.2,96.0,,86.8,90.2,,,,,
Lugo, Seth,16.988,526,0,Seth Lugo,"Lugo, Seth",607625,94.4,94.4,,88.9,87.6,79.8,,,,
Hendricks, Kyle,16.989,642,1,Kyle Hendricks,"Hendricks, Kyle",543294,86.9,86.5,,,79.9,72.7,,,,
Cishek, Steve,16.996,597,0,Steve Cishek,"Cishek, Steve",518553,89.3,89.8,,76.5,83.1,,,,,
Pivetta, Nick,17.008,1353,0,Nick Pivetta,"Pivetta, Nick",601713,93.4,,86.2,83.0,91.9,77.2,87.0,,,
Mahle, Tyler,17.03,1018,1,Tyler Mahle,"Mahle, Tyler",641816,93.2,92.2,85.5,83.9,,,85.4,,,
Rogers, Tyler,17.04,596,0,Tyler Rogers,"Rogers, Tyler",643511,83.3,83.2,,72.1,,,,,,
deGrom, Jacob,17.073,380,0,Jacob deGrom,"deGrom, Jacob",594798,98.9,,,92.6,92.0,83.4,,,,
Hernández, Elieser,17.086,478,0,Elieser Hernández,"Hernández, Elieser",622694,91.6,91.9,,80.1,84.6,,,,,
Lodolo, Nick,17.087,793,1,Nick Lodolo,"Lodolo, Nick",666157,94.4,94.2,,,88.3,81.5,,,,
Davis, Austin,17.102,526,0,Austin Davis,"Davis, Austin",656354,94.1,93.6,91.9,,86.3,79.5,,,80.5,
