entity_name,,median_seconds_empty,total_pitches,arm_injury_2022
Suter, Brent,12.626,494,0
Long, Sam,12.758,342,0
Chavez, Jesse,13.685,584,0
Irvin, Cole,14.068,1144,1
Brebbia, John,14.175,470,0
Matz, Steven,14.39,390,1
Akin, Keegan,14.405,514,0
Ashby, Aaron,14.5,903,1
Webb, Logan,14.504,1423,1
Bieber, Shane,14.55,1260,0
Sanmartin, Reiver,14.563,495,0
Junis, Jakob,14.61,868,0
Singer, Brady,14.614,1161,0
Márquez, Germán,14.622,1203,0
Sandlin, Nick,14.655,350,0
Elder, Bryce,14.772,400,0
García, Rony,14.793,427,0
Quantrill, Cal,14.835,1304,1
Peterson, David,14.84,885,0
Mikolas, Miles,14.902,1449,0
Watkins, Spenser,14.975,738,0
Keller, Mitch,14.981,1236,0
Cortes, Nestor,14.99,1091,1
Walker, Taijuan,15.073,1133,1
Wood, Alex,15.097,1028,0
Gomber, Austin,15.109,899,0
Gilbert, Logan,15.153,1329,0
Crismatt, Nabil,15.226,466,0
Gonzales, Marco,15.235,1273,0
Minor, Mike,15.276,822,1
Heaney, Andrew,15.303,540,1
Hill, Rich,15.306,947,1
Adon, Joan,15.315,552,0
Castillo, Luis,15.325,1130,1
Keller, Brad,15.359,976,0
Berríos, José,15.365,1232,0
Lauer, Eric,15.388,1241,1
Davidson, Tucker,15.405,427,0
Lynch IV, Daniel,15.413,1060,0
Plesac, Zach,15.414,912,0
Senzatela, Antonio,15.435,719,1
Rodriguez, Eduardo,15.436,679,0
Alcantara, Sandy,15.462,1313,0
Smyly, Drew,15.477,721,1
Lyles, Jordan,15.517,1362,0
Milner, Hoby,15.528,563,0
Manaea, Sean,15.532,1079,0
Cueto, Johnny,15.651,1086,0
Wacha, Michael,15.658,853,0
Wantz, Andrew,15.666,376,0
Faedo, Alex,15.668,437,1
Pilkington, Konnor,15.686,481,0
Brubaker, JT,15.733,1069,0
Houser, Adrian,15.754,887,1
Morgan, Eli,15.78,427,0
Skubal, Tarik,15.79,843,1
Bundy, Dylan,15.853,897,0
Contreras, Roansy,15.878,701,0
McKenzie, Triston,15.947,1159,0
Wright, Kyle,15.974,1232,0
Kershaw, Clayton,15.982,788,1
Buehler, Walker,15.994,449,0
Germán, Domingo,16.007,484,0
Ober, Bailey,16.026,366,0
Corbin, Patrick,16.043,1184,0
Barria, Jaime,16.047,494,0
Thompson, Keegan,16.074,875,0
Alexander, Jason,16.076,580,0
Pruitt, Austin,16.083,354,0
Kuhl, Chad,16.112,1123,1
Luzardo, Jesús,16.116,747,0
Abbott, Cory,16.119,358,0
Davies, Zach,16.15,1146,1
Anderson, Ian,16.221,884,0
Detmers, Reid,16.246,981,0
Whitlock, Garrett,16.248,518,1
Bello, Brayan,16.253,462,1
Severino, Luis,16.258,716,0
Winckowski, Josh,16.29,588,1
McHugh, Collin,16.319,478,0
Pepiot, Ryan,16.351,377,1
Lorenzen, Michael,16.377,753,0
Suárez, Ranger,16.398,1216,0
Hudson, Dakota,16.414,1085,1
Urquidy, José,16.427,1114,0
Ryan, Joe,16.439,1017,1
Kirby, George,16.457,876,0
Oller, Adam,16.488,583,0
Dunning, Dane,16.512,1191,0
Oviedo, Johan,16.518,437,0
Stroman, Marcus,16.52,1028,0
Manning, Matt,16.539,436,1
Ureña, José,16.557,732,0
Espino, Paolo,16.562,928,0
Chacín, Jhoulys,16.582,358,0
Banks, Tanner,16.598,393,0
McCullers Jr., Lance,16.612,371,0
Scherzer, Max,16.612,922,0
Gott, Trevor,16.62,373,1
Wheeler, Zack,16.643,1025,1
Steele, Justin,16.647,922,1
Peralta, Wandy,16.651,329,0
Fulmer, Michael,16.658,497,0
Iglesias, Raisel,16.663,415,0
Phelps, David,16.666,571,0
King, John,16.698,335,0
Garrett, Braxton,16.7,639,1
Heasley, Jonathan,16.735,828,1
Crowe, Wil,16.75,630,1
Winder, Josh,16.781,496,1
Wainwright, Adam,16.797,1537,0
Smeltzer, Devin,16.814,537,0
Cobb, Alex,16.85,1131,1
Stephens, Jackson,16.858,417,0
Garrett, Amir,16.864,363,1
Strider, Spencer,16.891,994,1
Musgrove, Joe,16.906,1320,0
Eflin, Zach,16.907,541,0
Gallen, Zac,16.914,1300,0
Duffey, Tyler,16.946,347,0
Kluber, Corey,16.956,1072,0
Duran, Jhoan,16.966,381,0
Crawford, Kutter,16.967,579,1
Kelly, Merrill,16.974,1363,0
Kuhnel, Joel,16.975,412,0
Lugo, Seth,16.988,526,0
Hendricks, Kyle,16.989,642,1
Cishek, Steve,16.996,597,0
Pivetta, Nick,17.008,1353,0
Mahle, Tyler,17.03,1018,1
Rogers, Tyler,17.04,596,0
deGrom, Jacob,17.073,380,0
Hernández, Elieser,17.086,478,0
Lodolo, Nick,17.087,793,1
Davis, Austin,17.102,526,0
Greene, Hunter,17.112,940,1
Hill, Tim,17.121,365,1
Taillon, Jameson,17.123,1273,0
Keuchel, Dallas,17.131,542,0
Stripling, Ross,17.136,891,1
Wilson, Bryse,17.147,855,0
Danish, Tyler,17.169,336,1
Williams, Trevor,17.173,641,0
McClanahan, Shane,17.182,1102,0
Sánchez, Aníbal,17.19,562,0
Freeland, Kyle,17.201,1285,0
Kremer, Dean,17.223,837,0
Cuas, Jose,17.23,326,0
Givens, Mychal,17.249,487,1
Rogers, Trevor,17.255,843,1
Brash, Matt,17.268,450,0
Schmidt, Clarke,17.285,420,0
Fedde, Erick,17.294,1234,1
Feltner, Ryan,17.299,776,1
Tate, Dillon,17.318,477,0
Morton, Charlie,17.319,1357,0
Robertson, David,17.371,493,0
Cabrera, Edward,17.392,585,1
Díaz, Edwin,17.393,373,0
Boxberger, Brad,17.407,523,0
Mayers, Mike,17.417,398,0
Anderson, Tyler,17.418,1071,0
Bumgarner, Madison,17.441,1227,0
Civale, Aaron,17.45,737,1
Flexen, Chris,17.467,944,0
Jiménez, Joe,17.494,379,0
Mayza, Tim,17.525,345,0
Estévez, Carlos,17.559,448,0
Hill, Garrett,17.588,467,0
Richards, Trevor,17.595,543,0
Cole, Gerrit,17.599,1477,0
Rucker, Michael,17.605,411,0
Quintana, Jose,17.632,1234,0
Peralta, Freddy,17.632,660,0
Hutchison, Drew,17.643,764,0
Bubic, Kris,17.647,1040,0
Logue, Zach,17.652,477,0
Greinke, Zack,17.661,1056,1
Gray, Sonny,17.667,884,0
Carrasco, Carlos,17.695,1024,1
Martinez, Nick,17.727,761,0
Castellanos, Humberto,17.749,357,0
Valdez, Framber,17.758,1356,0
Eovaldi, Nathan,17.767,742,0
Sanchez, Aaron,17.81,460,0
Hughes, Brandon,17.81,401,0
Leiter Jr., Mark,17.845,503,0
Cimber, Adam,17.875,469,0
Abreu, Albert,17.937,325,1
Lange, Alex,17.939,457,0
Bassitt, Chris,17.943,1377,1
Fried, Max,18.031,1265,1
Bird, Jake,18.046,371,0
Sampson, Adrian,18.08,776,1
Zimmermann, Bruce,18.105,493,0
Kaprielian, James,18.114,1016,1
Herget, Jimmy,18.136,483,1
Smith, Drew,18.149,354,0
Smith, Caleb,18.152,550,0
Pérez, Martín,18.191,1408,0
Shaw, Bryan,18.194,439,0
Snead, Kirby,18.23,370,0
Suarez, Robert,18.23,354,0
Hentges, Sam,18.246,403,1
Wick, Rowan,18.249,484,0
Alexander, Tyler,18.269,700,1
Raley, Brooks,18.325,403,0
Payamps, Joel,18.353,434,0
Yarbrough, Ryan,18.361,593,1
Bradish, Kyle,18.363,911,1
Gilbreath, Lucas,18.367,384,1
Gonsolin, Tony,18.395,867,1
Peralta, Wily,18.402,333,0
Okert, Steven,18.405,456,0
Ashcraft, Graham,18.415,774,0
Cease, Dylan,18.427,1371,0
Rodríguez, Joely,18.442,409,0
Ray, Robbie,18.49,1275,0
Brieske, Beau,18.538,541,1
Gray, Jon,18.548,907,0
Norris, Daniel,18.557,488,0
Javier, Cristian,18.599,1131,0
Loup, Aaron,18.617,424,0
Montas, Frankie,18.652,957,0
Gore, MacKenzie,18.652,572,1
Burke, Brock,18.661,618,0
Puk, A.J.,18.683,472,0
Lawrence, Justin,18.685,379,0
Hicks, Jordan,18.691,514,1
Hernández, Carlos,18.704,462,0
Beeks, Jalen,18.718,435,0
Henry, Tommy,18.758,342,0
Martin, Davis,18.79,442,0
López, Pablo,18.794,1286,0
Mantiply, Joe,18.811,366,0
Cessa, Luis,18.884,571,0
Rodón, Carlos,18.922,1298,0
Coleman, Dylan,18.98,560,0
Vest, Will,18.997,461,0
Clevinger, Mike,19.012,840,1
Snell, Blake,19.018,1025,0
Lambert, Jimmy,19.042,344,0
Knebel, Corey,19.056,365,0
Soto, Gregory,19.118,491,0
Hearn, Taylor,19.125,806,0
Sandoval, Patrick,19.145,1100,0
Marte, Yunior,19.145,379,0
Odorizzi, Jake,19.158,794,1
Syndergaard, Noah,19.173,876,0
Bush, Matt,19.177,417,1
Edwards Jr., Carl,19.196,451,0
Trivino, Lou,19.227,434,0
Pallante, Andre,19.249,828,0
White, Mitch,19.332,745,1
Lynn, Lance,19.336,883,0
Neris, Héctor,19.348,427,0
Nelson, Nick,19.391,509,0
Festa, Matt,19.408,396,1
Swanson, Erik,19.436,361,0
Otto, Glenn,19.452,994,1
Machado, Andrés,19.574,434,0
Foley, Jason,19.574,402,0
Springs, Jeffrey,19.623,968,1
Marinaccio, Ron,19.624,352,0
Chafin, Andrew,19.662,377,0
Gray, Josiah,19.673,1233,0
Rasmussen, Drew,19.676,919,0
Wells, Tyler,19.683,703,1
Floro, Dylan,19.697,375,1
Leclerc, José,19.712,340,0
Falter, Bailey,19.716,572,1
Baker, Bryan,19.717,558,0
Domínguez, Seranthony,19.717,371,0
Graveman, Kendall,19.722,468,0
Murfee, Penn,19.745,448,0
Woodruff, Brandon,19.756,1128,0
García, Jarlín,19.766,445,0
Luetge, Lucas,19.796,449,0
Thompson, Zach,19.819,982,1
Moore, Matt,19.883,500,0
Gibson, Kyle,19.888,1231,0
Kikuchi, Yusei,19.896,810,0
Urías, Julio,19.9,1109,0
Effross, Scott,19.903,387,1
Martínez, Adrián,19.913,454,0
Krehbiel, Joey,19.93,458,0
Scott, Tanner,19.96,568,0
Brasier, Ryan,19.98,388,0
Montero, Rafael,19.997,518,0
Jax, Griffin,20.084,502,0
Farmer, Buck,20.099,376,0
Sawamura, Hirokazu,20.105,361,0
