Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Wade Miley,11.261,0,617,"Miley, Wade",489119,90.4,90.7,87.1,79.1,83.7,75.8,,,,
Logan Allen,11.516,0,601,"Allen, Logan",671106,91.4,89.9,86.4,83.6,82.7,,,,78.8,
Brent Suter,11.923,0,317,"Suter, Brent",608718,86.0,88.1,,76.7,76.2,,,,,
Mitch Keller,12.125,0,878,"Keller, Mitch",656605,95.2,93.8,89.7,,90.7,78.0,,,82.8,
Jakob Junis,12.245,0,363,"Junis, Jakob",596001,93.9,93.7,,84.2,87.1,,,,,
Steven Matz,12.345,0,522,"Matz, Steven",571927,,94.1,,88.9,84.2,78.5,,,,
Rich Hill,12.518,0,682,"Hill, Rich",448179,88.4,86.1,83.3,77.3,83.0,71.8,,,69.4,
Brusdar Graterol,12.583,0,231,"Graterol, Brusdar",660813,98.3,98.6,95.6,88.7,,,,,,
Miles Mikolas,12.601,0,881,"Mikolas, Miles",571945,93.3,92.7,,86.4,84.4,75.8,,,,
Taijuan Walker,12.675,0,900,"Walker, Taijuan",592836,92.8,92.4,87.2,,,74.8,87.9,,82.9,
Bryce Elder,12.681,0,798,"Elder, Bryce",693821,90.8,89.5,,82.7,85.0,,,,,
Ty Blach,12.715,0,304,"Blach, Ty",621389,90.2,89.2,83.7,,79.9,78.9,,,,
Hogan Harris,12.735,0,296,"Harris, Hogan",663687,92.6,,90.5,,80.1,74.0,,,77.0,
Osvaldo Bido,12.761,0,235,"Bido, Osvaldo",674370,94.7,94.6,85.8,84.5,89.1,,,,,
Louis Varland,12.763,0,290,"Varland, Louis",686973,95.3,95.5,,89.3,85.9,,,,83.8,
Cal Quantrill,12.78,1,467,"Quantrill, Cal",615698,93.7,93.7,88.1,,86.1,82.0,86.8,,,
Brad Keller,12.822,1,251,"Keller, Brad",641745,93.3,92.5,,84.3,90.8,85.1,,,84.3,
Marco Gonzales,12.837,1,215,"Gonzales, Marco",594835,89.2,88.7,85.9,,79.9,79.3,,,,
Quinn Priester,12.838,0,270,"Priester, Quinn",682990,92.7,93.6,,85.3,89.2,80.6,,,,
Andrew Vasquez,12.92,0,189,"Vasquez, Andrew",607755,89.1,88.5,,80.6,83.2,76.1,,,,
Luis Castillo,12.932,0,905,"Castillo, Luis",622491,96.3,95.9,,85.7,88.3,,,,,
Reese Olson,12.933,0,430,"Olson, Reese",681857,94.8,94.7,,84.8,87.8,78.8,,,,
Tyler Anderson,12.962,0,425,"Anderson, Tyler",542881,90.1,88.5,85.1,79.3,80.0,72.9,,,,
Tyler Wells,12.975,0,316,"Wells, Tyler",669330,92.5,,88.7,84.0,85.4,74.1,,,,
JP Sears,12.978,0,488,"Sears, JP",676664,93.1,92.4,,82.1,84.1,81.6,,,81.0,
Zac Gallen,12.996,0,701,"Gallen, Zac",668678,93.5,93.8,90.2,87.4,86.8,82.5,,,,
Ross Stripling,13.045,0,181,"Stripling, Ross",548389,92.4,90.4,87.2,87.2,83.7,75.9,85.6,,,
Chris Bassitt,13.092,0,1017,"Bassitt, Chris",605135,92.4,91.9,87.8,80.3,84.1,70.7,82.6,,73.2,
Zack Greinke,13.14,1,342,"Greinke, Zack",425844,89.5,89.8,85.2,79.2,86.5,72.4,,,,
George Kirby,13.148,0,315,"Kirby, George",669923,96.1,95.8,,86.3,86.6,81.8,84.9,75.1,,
