Player,Tempo_23,Inj_23,total_pitches_empty
Wade Miley,11.261,0,617
Logan Allen,11.516,0,601
Brent Suter,11.923,0,317
Mitch Keller,12.125,0,878
Jakob Junis,12.245,0,363
Steven Matz,12.345,0,522
Rich Hill,12.518,0,682
Brusdar Graterol,12.583,0,231
Miles Mikolas,12.601,0,881
Josh Fleming,12.603,1,237
Taijuan Walker,12.675,0,900
Bryce Elder,12.681,0,798
Ty Blach,12.715,0,304
Hogan Harris,12.735,0,296
Osvaldo Bido,12.761,0,235
Louis Varland,12.763,0,290
Cal Quantrill,12.78,1,467
Brad Keller,12.822,1,251
Marco Gonzales,12.837,1,215
Quinn Priester,12.838,0,270
Andrew Vasquez,12.92,0,189
Luis Castillo,12.932,0,905
Reese Olson,12.933,0,430
Tyler Alexander,12.935,1,785
Keaton Winn,12.945,0,259
Tyler Anderson,12.962,0,425
Tyler Wells,12.975,0,316
JP Sears,12.978,0,488
Zac Gallen,12.996,0,701
Sam Long,13.038,0,207
Ross Stripling,13.045,0,181
Jesse Chavez,13.079,0,362
Chris Bassitt,13.092,0,1017
Zack Greinke,13.14,1,342
George Kirby,13.148,0,315
Tanner Houck,13.162,0,773
Joe Ryan,13.169,0,686
Cole Irvin,13.199,0,323
Zach Eflin,13.221,0,147
Kutter Crawford,13.223,0,573
Griffin Jax,13.232,0,872
Gerrit Cole,13.248,0,892
Cristopher Sánchez,13.252,1,226
Yusei Kikuchi,13.307,0,277
Shane Bieber,13.315,1,252
Logan Webb,13.329,0,564
Tyler Glasnow,13.335,0,599
Ben Lively,13.338,0,692
Martín Pérez,13.369,0,227
Jake Irvin,13.378,0,334
Ryan Borucki,13.398,0,494
Joey Krehbiel,13.398,0,321
Matt Strahm,13.408,0,357
Griffin Canning,13.415,0,595
Andrew Heaney,13.417,0,277
Colin Poche,13.419,0,458
José Berríos,13.428,0,717
Dane Dunning,13.438,0,795
Framber Valdez,13.438,0,251
Kyle Gibson,13.47,0,640
Alec Marsh,13.477,0,500
Alex Wood,13.482,0,249
Tanner Bibee,13.488,1,732
Sonny Gray,13.489,0,233
Hoby Milner,13.5,0,523
Alex Cobb,13.508,0,538
Emmet Sheehan,13.515,0,208
Ryan Yarbrough,13.515,0,252
Brandon Pfaadt,13.521,0,359
Ryan Feltner,13.526,0,178
José Ureña,13.535,0,824
Bobby Miller,13.547,0,807
Aaron Nola,13.562,0,553
Zach Plesac,13.567,0,431
Hyun Jin Ryu,13.577,1,269
Bailey Ober,13.591,0,556
Justin Steele,13.593,0,392
Seth Lugo,13.608,0,473
Graham Ashcraft,13.611,1,250
Bryan Woo,13.618,1,623
Nick Pivetta,13.64,0,663
Tarik Skubal,13.67,1,591
Brayan Bello,13.695,1,231
Hayden Wesneski,13.698,0,727
Dean Kremer,13.732,0,760
Reiver Sanmartin,13.74,1,183
Mason Englert,13.772,0,751
Spencer Strider,13.789,0,706
Kyle Freeland,13.791,1,584
Pablo López,13.8,0,322
Zack Wheeler,13.807,0,480
Kyle Hendricks,13.827,1,730
Anthony DeSclafani,13.831,1,685
Tim Hill,13.837,1,589
Hunter Brown,13.838,0,273
Chris Flexen,13.849,0,270
Ranger Suárez,13.855,1,312
Julio Urías,13.859,0,629
Luis Severino,13.86,0,605
Austin Gomber,13.866,0,268
Jake Woodford,13.875,1,441
Max Scherzer,13.889,1,244
Clarke Schmidt,13.906,0,570
José Cisnero,13.911,0,552
Drew Smyly,13.911,0,512
Jameson Taillon,13.916,0,365
Trevor Richards,13.926,0,299
Matt Moore,13.927,0,652
Trevor Williams,13.96,0,209
Jordan Montgomery,13.963,0,228
Xzavion Curry,13.991,0,234
Merrill Kelly,13.997,0,463
Zach Logue,14.008,0,299
Ryne Nelson,14.012,0,445
Bailey Falter,14.04,0,465
Joey Wentz,14.041,0,777
Gavin Williams,14.047,0,338
Chase Anderson,14.065,1,724
Jordan Lyles,14.076,0,210
Paul Blackburn,14.081,0,224
Eury Pérez,14.081,1,861
José Butto,14.083,0,361
Brandon Williamson,14.085,0,214
Buck Farmer,14.093,0,678
Kevin Gausman,14.1,0,614
Keegan Thompson,14.103,0,389
Jon Gray,14.109,1,373
Braxton Garrett,14.111,0,259
Reid Detmers,14.121,0,440
Lance Lynn,14.143,0,306
Kyle Bradish,14.147,0,336
Logan Gilbert,14.15,0,253
Dakota Hudson,14.163,0,660
Marcus Stroman,14.167,0,383
Dylan Cease,14.18,0,408
Jesús Luzardo,14.181,0,676
Charlie Morton,14.196,0,242
Drew Rucinski,14.197,0,992
Eric Lauer,14.198,1,340
Jhony Brito,14.221,0,841
Patrick Corbin,14.221,0,274
Connor Seabold,14.226,0,386
José Soriano,14.246,0,698
Brady Singer,14.254,0,632
Randy Vásquez,14.256,0,192
Adrian Houser,14.261,1,224
Clayton Kershaw,14.263,1,458
Luis Cessa,14.265,0,243
Noah Syndergaard,14.267,0,266
Tommy Henry,14.279,1,433
J.P. France,14.323,0,219
Johan Oviedo,14.342,0,233
Justin Verlander,14.372,1,230
