year,player,player_key,tempo_seconds_empty,pitches_empty,injury,source_records,in_velocity_merge,player_id,primary_velocity_mph
2022,Brent Suter,brent suter,12.626,494,0,1,1,608718,86.4
2022,Sam Long,sam long,12.758,342,0,1,0,,
2022,Jesse Chavez,jesse chavez,13.685,584,0,1,1,445926,91.5
2022,Cole Irvin,cole irvin,14.068,1144,1,1,1,608344,90.7
2022,John Brebbia,john brebbia,14.175,470,0,1,1,605154,94.4
2022,Steven Matz,steven matz,14.39,390,1,1,1,571927,94.5
2022,Keegan Akin,keegan akin,14.405,514,0,1,1,669211,93.5
2022,Aaron Ashby,aaron ashby,14.5,903,1,1,1,676879,95.5
2022,Logan Webb,logan webb,14.504,1423,1,1,1,657277,92.3
2022,Shane Bieber,shane bieber,14.55,1260,0,1,1,669456,91.3
2022,Reiver Sanmartin,reiver sanmartin,14.563,495,0,1,1,665665,90.9
2022,Jakob Junis,jakob junis,14.61,868,0,1,1,596001,91.9
2022,Brady Singer,brady singer,14.614,1161,0,1,1,663903,93.1
2022,Germán Márquez,germán márquez,14.622,1203,0,1,1,608566,95.6
2022,Nick Sandlin,nick sandlin,14.655,350,0,1,0,,
2022,Bryce Elder,bryce elder,14.772,400,0,1,1,693821,90.5
2022,Rony García,rony garcía,14.793,427,0,1,1,665621,92.9
2022,Cal Quantrill,cal quantrill,14.835,1304,1,1,1,615698,93.9
2022,David Peterson,david peterson,14.84,885,0,1,1,656849,93.7
2022,Miles Mikolas,miles mikolas,14.902,1449,0,1,1,571945,93.5
2022,Spenser Watkins,spenser watkins,14.975,738,0,1,1,657093,91.4
2022,Mitch Keller,mitch keller,14.981,1236,0,1,1,656605,95.6
2022,Nestor Cortes,nestor cortes,14.99,1091,1,1,1,641482,91.8
2022,Taijuan Walker,taijuan walker,15.073,1133,1,1,1,592836,93.7
2022,Alex Wood,alex wood,15.097,1028,0,1,1,622072,91.9
2022,Austin Gomber,austin gomber,15.109,899,0,1,1,596295,91.0
2022,Logan Gilbert,logan gilbert,15.153,1329,0,1,1,669302,96.1
2022,Nabil Crismatt,nabil crismatt,15.226,466,0,1,1,622503,90.5
2022,Marco Gonzales,marco gonzales,15.235,1273,0,1,1,594835,88.5
2022,Mike Minor,mike minor,15.276,822,1,1,1,501985,90.4
2022,Andrew Heaney,andrew heaney,15.303,540,1,1,1,571760,93.0
2022,Rich Hill,rich hill,15.306,947,1,1,1,448179,88.5
2022,Joan Adon,joan adon,15.315,552,0,1,1,672851,95.0
2022,Luis Castillo,luis castillo,15.325,1130,1,1,1,622491,97.1
2022,Brad Keller,brad keller,15.359,976,0,1,1,641745,94.5
2022,José Berríos,josé berríos,15.365,1232,0,1,1,621244,94.0
