player_key,player,injury_2022,injury_2023,tempo_2022,tempo_2023,pitches_2022,pitches_2023
a.j. minter,A.J. Minter,0,1,23.029,14.85,453,654
aaron ashby,Aaron Ashby,1,1,14.5,14.839,903,252
aaron civale,Aaron Civale,1,0,17.45,14.865,737,374
aaron loup,Aaron Loup,0,1,18.617,15.922,424,284
aaron nola,Aaron Nola,0,0,20.119,13.562,1328,553
adrian houser,Adrian Houser,1,1,15.754,14.261,887,224
alek manoah,Alek Manoah,0,0,20.7,15.463,1280,241
alex cobb,Alex Cobb,1,0,16.85,13.508,1131,538
alex faedo,Alex Faedo,1,0,15.668,14.475,437,540
alex lange,Alex Lange,0,0,17.939,15.112,457,964
alex wood,Alex Wood,0,0,15.097,13.482,1028,249
andrew heaney,Andrew Heaney,1,0,15.303,14.152420560747665,540,535
austin gomber,Austin Gomber,0,0,15.109,13.866,899,268
bailey falter,Bailey Falter,1,0,19.716,14.04,572,465
bailey ober,Bailey Ober,0,0,16.026,13.591,366,556
blake snell,Blake Snell,0,0,19.018,14.942,1025,219
brad keller,Brad Keller,0,1,15.359,12.822,976,251
brady singer,Brady Singer,0,0,14.614,14.254,1161,632
brandon woodruff,Brandon Woodruff,0,1,19.756,14.392,1128,229
braxton garrett,Braxton Garrett,1,0,16.7,14.111,639,259
brayan bello,Brayan Bello,1,1,16.253,13.695,462,231
brent suter,Brent Suter,0,0,12.626,11.923,494,317
bryan abreu,Bryan Abreu,0,0,21.246,14.679,423,872
bryce elder,Bryce Elder,0,0,14.772,12.681000000000001,400,798
buck farmer,Buck Farmer,0,0,20.099,14.093,376,678
cal quantrill,Cal Quantrill,1,1,14.835,12.78,1304,467
camilo doval,Camilo Doval,0,0,22.272,15.172,507,481
carlos carrasco,Carlos Carrasco,1,1,17.695,14.783,1024,256
carlos rodón,Carlos Rodón,0,1,18.922,14.939,1298,662
charlie morton,Charlie Morton,0,0,17.319,14.196,1357,242
chris bassitt,Chris Bassitt,1,0,17.943,13.092,1377,1017
chris flexen,Chris Flexen,0,0,17.467,13.849,944,270
cionel pérez,Cionel Pérez,0,1,22.482,15.067999999999998,398,197
clarke schmidt,Clarke Schmidt,0,0,17.285,13.906,420,570
clay holmes,Clay Holmes,0,0,21.818,15.039999999999997,451,343
clayton kershaw,Clayton Kershaw,1,1,15.982,14.263,788,458
cole irvin,Cole Irvin,1,0,14.068,13.199,1144,323
colin poche,Colin Poche,0,0,20.468,13.419,406,458
collin mchugh,Collin McHugh,0,1,16.319,16.495,478,667
corbin burnes,Corbin Burnes,0,0,21.088,14.669,1506,416
cristian javier,Cristian Javier,0,0,18.599,14.764,1131,716
dakota hudson,Dakota Hudson,1,0,16.414,14.163,1085,660
dane dunning,Dane Dunning,0,0,16.512,13.438,1191,795
daniel lynch iv,Daniel Lynch IV,0,1,15.413,15.026,1060,300
david bednar,David Bednar,1,0,20.531,15.091,367,629
david robertson,David Robertson,0,0,17.371,15.073,493,642
dean kremer,Dean Kremer,0,0,17.223,13.732,837,760
devin williams,Devin Williams,0,0,24.717,15.622,468,405
drew smith,Drew Smith,0,0,18.149,15.102,354,239
drew smyly,Drew Smyly,1,0,15.477,13.911,721,512
dylan cease,Dylan Cease,0,0,18.427,14.18,1371,408
edward cabrera,Edward Cabrera,1,0,17.392,14.979,585,351
eric lauer,Eric Lauer,1,1,15.388,14.197999999999999,1241,340
erik swanson,Erik Swanson,0,0,19.436,14.82,361,183
framber valdez,Framber Valdez,0,0,17.758,13.438,1356,251
frankie montas,Frankie Montas,0,1,18.652,15.543,957,192
freddy peralta,Freddy Peralta,0,0,17.632,14.406,660,818
félix bautista,Félix Bautista,0,1,20.165,15.425,416,198
garrett hill,Garrett Hill,0,0,17.588,14.771,467,260
george kirby,George Kirby,0,0,16.457,13.148,876,315
gerrit cole,Gerrit Cole,0,0,17.599,13.247999999999998,1477,892
giovanny gallegos,Giovanny Gallegos,0,1,25.811,16.025,390,247
graham ashcraft,Graham Ashcraft,0,1,18.415,13.611,774,250
gregory soto,Gregory Soto,0,0,19.118,15.713999999999999,491,331
griffin jax,Griffin Jax,0,0,20.084,13.232,502,872
génesis cabrera,Génesis Cabrera,0,0,20.862,14.892000000000001,326,883
hoby milner,Hoby Milner,0,0,15.528,13.5,563,523
jakob junis,Jakob Junis,0,0,14.61,12.245,868,363
james kaprielian,James Kaprielian,1,1,18.114,15.173,1016,282
jameson taillon,Jameson Taillon,0,0,17.123,13.916,1273,365
jesse chavez,Jesse Chavez,0,0,13.685,13.079,584,362
jesús luzardo,Jesús Luzardo,0,0,16.116,14.181,747,676
jimmy herget,Jimmy Herget,1,0,18.136,15.303,483,250
joe kelly,Joe Kelly,0,1,23.086,14.977,329,190
joe musgrove,Joe Musgrove,0,1,16.906,14.397,1320,228
joe ryan,Joe Ryan,1,0,16.439,13.169000000000002,1017,686
joey krehbiel,Joey Krehbiel,0,0,19.93,13.398,458,321
johan oviedo,Johan Oviedo,0,0,16.518,14.342,437,233
john schreiber,John Schreiber,0,0,20.716,14.665,493,864
jon gray,Jon Gray,0,1,18.548,14.109,907,373
jonathan loáisiga,Jonathan Loáisiga,0,1,25.761,15.997,330,478
jordan lyles,Jordan Lyles,0,0,15.517,14.076,1362,210
jordan montgomery,Jordan Montgomery,0,0,20.368,13.963,1174,228
jordan romano,Jordan Romano,0,0,20.521,15.338,416,396
jorge lópez,Jorge López,0,0,20.608,15.471,510,622
josh hader,Josh Hader,0,0,22.113,17.729,431,743
josiah gray,Josiah Gray,0,0,19.673,14.437999999999999,1233,301
josé berríos,José Berríos,0,0,15.365,13.428,1232,717
josé leclerc,José Leclerc,0,0,19.712,15.391,340,361
josé ureña,José Ureña,0,0,16.557,13.535,732,824
josé urquidy,José Urquidy,0,1,16.427,14.762000000000002,1114,280
jp sears,JP Sears,0,0,21.133,12.978,517,488
julio urías,Julio Urías,0,0,19.9,13.859,1109,629
justin steele,Justin Steele,1,0,16.647,13.593,922,392
justin verlander,Justin Verlander,1,1,20.144,14.372,1044,230
keegan thompson,Keegan Thompson,0,0,16.074,14.103,875,389
kenley jansen,Kenley Jansen,1,0,25.579,15.438,422,278
kevin gausman,Kevin Gausman,0,0,20.331,14.1,1031,614
kutter crawford,Kutter Crawford,1,0,16.967,13.223,579,573
kyle bradish,Kyle Bradish,1,0,18.363,14.147,911,336
kyle freeland,Kyle Freeland,0,1,17.201,13.791,1285,584
kyle gibson,Kyle Gibson,0,0,19.888,13.470000000000002,1231,640
kyle hendricks,Kyle Hendricks,1,1,16.989,13.826999999999998,642,730
lance lynn,Lance Lynn,0,0,19.336,14.142999999999999,883,306
logan gilbert,Logan Gilbert,0,0,15.153,14.15,1329,253
