year,month,month_label,period,plate_appearances,at_bats,hits,home_runs,walks,strikeouts,avg_reported,avg_calculated,adjusted_avg,credible_interval_lower,credible_interval_upper,reliability_weight,adjustment,absolute_adjustment,on_base_percentage,slugging_percentage,on_base_plus_slugging
2015,3,3월,2015-03-01,13,12,3,0,0,0,0.25,0.25,0.30471797411924956,0.19753498593644678,0.4238320630309384,0.1935483870967742,0.05471797411924956,0.05471797411924956,0.308,0.417,0.725
2015,4,4월,2015-04-01,81,69,18,3,11,18,0.261,0.2608695652173913,0.28481104533944096,0.20768400580867563,0.3687881557060069,0.5798319327731093,0.023941480122049663,0.023941480122049663,0.358,0.449,0.807
2015,5,5월,2015-05-01,90,84,26,3,5,19,0.31,0.30952380952380953,0.3126307044432349,0.23723996550471416,0.3933191386190085,0.6268656716417911,0.0031068949194253404,0.0031068949194253404,0.356,0.524,0.88
2015,6,6월,2015-06-01,57,50,23,3,7,7,0.46,0.46,0.38892514395393474,0.2961761896848748,0.4858837549265647,0.5,-0.07107485604606528,0.07107485604606528,0.526,0.8,1.326
2015,7,7월,2015-07-01,100,85,36,0,12,11,0.424,0.4235294117647059,0.3843889955214332,0.30439746858183403,0.4676258646249293,0.6296296296296297,-0.03914041624327269,0.03914041624327269,0.49,0.529,1.019
2015,8,8월,2015-08-01,106,94,31,2,9,22,0.33,0.32978723404255317,0.32564246107912137,0.25180029372510404,0.4040723229309848,0.6527777777777778,-0.004144772963431798,0.004144772963431798,0.406,0.479,0.885
2015,9,9월,2015-09-01,18,16,6,0,1,2,0.375,0.375,0.33170476356656775,0.22424323364358748,0.4488279966507009,0.24242424242424243,-0.04329523643343225,0.04329523643343225,0.389,0.563,0.952
2016,4,4월,2016-04-01,100,87,32,2,10,14,0.368,0.367816091954023,0.3495803970466677,0.2722476768885894,0.431073538533543,0.635036496350365,-0.01823569490735527,0.01823569490735527,0.434,0.552,0.986
2016,5,5월,2016-05-01,100,81,31,3,17,11,0.383,0.38271604938271603,0.3579581251556754,0.27838282532716035,0.4416421997192231,0.6183206106870229,-0.02475792422704065,0.02475792422704065,0.49,0.617,1.107
2016,7,7월,2016-07-01,63,56,21,3,5,6,0.375,0.375,0.3480425886357875,0.26071424634112866,0.4408031809210057,0.5283018867924528,-0.02695741136421248,0.02695741136421248,0.435,0.661,1.096
