Team,Year,R,Fitted_R,Residual,Cooks_D,Above_4_over_n
KIA,2021,568,594.5288244225308,-26.52882442253076,0.11964532846524813,True
LG,2020,802,768.4010292868949,33.59897071310513,0.11555106537958801,True
SSG,2021,755,777.3159730651158,-22.315973065115827,0.08433088429790452,True
두산,2023,620,647.3978759140773,-27.397875914077304,0.0818087799055963,True
롯데,2021,727,749.5004087877346,-22.500408787734614,0.07259682584207264,False
키움,2021,722,696.1160134839608,25.88398651603916,0.06950893972836553,False
KIA,2024,858,883.9324707437146,-25.93247074371459,0.06700627749746783,False
롯데,2022,605,628.4309844958327,-23.430984495832718,0.062170827430648515,False
두산,2022,638,608.2775385641588,29.722461435841183,0.05508051319932712,False
SSG,2022,720,699.6378711541224,20.362128845877578,0.049377828552838114,False
KIA,2023,726,698.632163807825,27.36783619217499,0.04092340170819763,False
SSG,2023,658,684.7430458243695,-26.74304582436946,0.03568273142234716,False
한화,2022,564,581.2725046622893,-17.272504662289293,0.033901258335774814,False
키움,2023,607,621.1776533411083,-14.17765334110834,0.03087123937644109,False
한화,2024,745,718.1978157410566,26.802184258943385,0.026390113102160887,False
두산,2021,738,711.2725920357909,26.72740796420908,0.02270955875486809,False
NC,2024,773,786.8885640105808,-13.888564010580808,0.02011819090960504,False
키움,2022,621,632.6706516654393,-11.670651665439323,0.017368681297201302,False
LG,2023,767,758.0909939791452,8.909006020854804,0.01637060376075281,False
NC,2020,888,877.9532626631784,10.046737336821593,0.010853499796863881,False
롯데,2023,653,638.3775353825149,14.622464617485093,0.009995661648136315,False
LG,2022,715,704.6240848257371,10.3759151742629,0.009696820914578451,False
KIA,2020,724,712.5912850999724,11.408714900027576,0.009338071496296287,False
KT,2021,719,709.321921473769,9.678078526231047,0.009274278243450373,False
삼성,2021,712,699.228209757614,12.771790242386032,0.008655493578292098,False
롯데,2020,750,758.1747445873943,-8.174744587394343,0.008432003912134918,False
키움,2020,759,770.4104820306027,-11.41048203060268,0.00819435439779709,False
NC,2022,646,660.183200250227,-14.183200250226946,0.007737921159433822,False
삼성,2022,663,674.3193619432088,-11.319361943208833,0.007645562307294173,False
KIA,2022,720,736.5333646207907,-16.533364620790735,0.006558866522691371,False
NC,2021,702,709.5839396054587,-7.583939605458681,0.004562565193209817,False
KT,2023,672,662.4366403843612,9.563359615638774,0.004290746737509723,False
KT,2022,631,623.1310067438724,7.868993256127624,0.003790127462372189,False
한화,2020,551,544.5476640151472,6.452335984852766,0.003608495456130108,False
두산,2024,789,793.3160042808261,-4.316004280826064,0.003212300471241063,False
삼성,2024,770,764.8886786568816,5.111321343118448,0.002891090894876483,False
삼성,2020,699,693.115962255655,5.884037744345051,0.0028554430499665375,False
NC,2023,679,688.7767901190405,-9.77679011904047,0.0026860027642201896,False
롯데,2024,802,799.1004183321463,2.899581667853681,0.002571511337195671,False
KT,2020,813,807.2949173518407,5.705082648159305,0.0018372453057812577,False
SSG,2020,634,630.4351997007535,3.5648002992464853,0.0017482542838930214,False
KT,2024,767,770.8260910237689,-3.8260910237688677,0.0016947430591546645,False
한화,2021,599,597.036652656454,1.9633473435460473,0.0011815549026143117,False
키움,2024,672,667.4674509704097,4.532549029590314,0.0010178311741024266,False
SSG,2024,756,758.1178238103571,-2.1178238103570948,0.0004138047275565883,False
두산,2020,816,817.2380200076045,-1.2380200076045185,0.00017283804883287023,False
한화,2023,604,603.3385407764042,0.6614592235957844,2.405148257721619e-05,False
삼성,2023,636,636.3617242495583,-0.36172424955827864,5.8959505142307155e-06,False
LG,2021,654,653.8040824349448,0.19591756505519697,4.103983041988792e-06,False
LG,2024,808,807.979965003805,0.02003499619502236,7.040965264302029e-08,False
