Team,Year,G,PA,R,H,1B,2B,3B,HR,BB,HP,BB_HBP,SB,CS,SO
KIA,2020,144,5642,724,1355,988,224,13,130,535,69,604,47,25,957
KT,2020,144,5762,813,1432,1010,238,21,163,554,52,606,106,50,1097
LG,2020,144,5681,802,1384,953,253,29,149,509,75,584,83,39,969
NC,2020,144,5833,888,1483,1010,258,28,187,529,104,633,101,38,997
SSG,2020,144,5502,634,1212,875,177,17,143,511,69,580,81,45,981
두산,2020,144,5776,816,1477,1069,263,20,125,551,68,619,88,37,796
롯데,2020,144,5669,750,1366,977,252,6,131,569,55,624,90,31,875
삼성,2020,144,5574,699,1317,965,211,12,129,486,62,548,132,49,990
키움,2020,144,5721,759,1332,926,254,25,127,608,73,681,113,27,1030
한화,2020,144,5483,551,1189,903,195,12,79,462,89,551,51,36,1163
KIA,2021,144,5577,568,1198,928,183,21,66,595,73,668,73,31,921
KT,2021,144,5627,719,1276,940,219,11,106,645,58,703,112,46,1047
LG,2021,144,5533,654,1188,857,210,11,110,592,94,686,92,34,926
NC,2021,144,5532,702,1254,864,203,17,170,511,111,622,101,46,1093
SSG,2021,144,5736,755,1278,876,204,13,185,636,94,730,100,43,1056
두산,2021,144,5645,738,1314,952,235,17,110,560,86,646,81,37,943
롯데,2021,144,5726,727,1393,1010,266,10,107,579,54,633,60,31,969
삼성,2021,144,5552,712,1292,937,204,18,133,545,55,600,116,44,902
키움,2021,144,5653,722,1262,899,244,28,91,595,93,688,97,26,1053
한화,2021,144,5495,599,1111,801,213,17,80,633,74,707,109,56,1286
KIA,2022,144,5703,720,1361,979,250,19,113,542,63,605,103,34,983
KT,2022,144,5547,631,1237,907,192,19,119,519,49,568,89,34,1183
LG,2022,144,5627,715,1325,966,208,33,118,501,103,604,102,46,924
NC,2022,144,5585,646,1260,910,230,15,105,501,88,589,100,39,981
SSG,2022,144,5642,720,1245,847,242,18,138,530,95,625,98,39,1075
두산,2022,144,5510,638,1249,926,210,12,101,450,71,521,90,40,1007
롯데,2022,144,5534,605,1320,971,227,16,106,417,54,471,61,39,991
삼성,2022,144,5647,663,1358,995,241,19,103,446,54,500,91,27,1029
키움,2022,144,5655,621,1250,920,203,33,94,527,92,619,63,20,1032
한화,2022,144,5513,564,1196,872,217,19,88,497,52,549,93,49,1264
KIA,2023,144,5607,726,1365,1019,224,21,101,500,46,546,122,34,957
KT,2023,144,5649,672,1316,978,235,14,89,524,48,572,87,30,1074
LG,2023,144,5687,767,1364,1017,227,27,93,583,73,656,166,101,804
NC,2023,144,5606,679,1321,972,223,28,98,493,100,593,111,46,1005
SSG,2023,144,5630,658,1279,909,229,16,125,507,78,585,96,28,943
두산,2023,144,5538,620,1238,896,210,32,100,505,76,581,133,48,975
롯데,2023,144,5576,653,1289,970,231,19,69,522,51,573,101,42,1000
삼성,2023,144,5581,636,1290,971,208,23,88,487,62,549,103,35,954
키움,2023,144,5729,607,1323,1009,223,30,61,484,74,558,54,11,1096
한화,2023,144,5628,604,1184,861,211,12,100,535,88,623,67,22,1162
KIA,2024,144,5812,858,1542,1085,266,28,163,529,59,588,125,44,915
KT,2024,144,5808,767,1413,1018,234,16,145,580,49,629,61,27,1123
LG,2024,144,5725,808,1394,1012,238,29,115,616,71,687,171,79,969
NC,2024,144,5757,773,1371,958,226,15,172,513,128,641,104,33,1200
SSG,2024,144,5647,756,1367,956,239,20,152,470,77,547,149,39,1095
두산,2024,144,5680,789,1375,961,243,21,150,510,81,591,184,50,1077
롯데,2024,144,5766,802,1454,1003,285,41,125,494,68,562,105,42,1079
삼성,2024,144,5697,770,1336,930,204,17,185,531,87,618,113,29,1150
키움,2024,144,5671,672,1326,976,222,24,104,492,78,570,71,13,1141
한화,2024,144,5702,745,1351,982,224,18,127,530,85,615,69,41,1077
